codigoClasificador;descripcion
1;"CI - CEDULA DE IDENTIDAD"
2;"CEX - CEDULA DE IDENTIDAD DE EXTRANJERO"
5;"NIT - NÚMERO DE IDENTIFICACIÓN TRIBUTARIA"
3;"PAS - PASAPORTE"
4;"OD - OTRO DOCUMENTO DE IDENTIDAD"
