codigoClasificador;descripcion
3;"HABITACION DOBLE DE USO INDIVIDUAL"
4;"HABITACIÓN DOBLE CON CAMA SUPLETORIA"
5;"HABITACIÓN MATRIMONIAL"
6;"HABITACIÓN TRIPLE"
7;"HABITACIÓN CUÁDRUPLE"
8;"HABITACIÓN FAMILIAR"
9;"JUNIOR SUITE"
10;SUITE
11;"SUITE DOBLE"
12;"SUITE NUPCIAL"
13;"SUITE PRESIDENCIAL"
14;CABAÑA
15;DEPARTAMENTO
16;DORMITORIOS
1;"HABITACIÓN SENCILLA"
2;"HABITACIÓN DOBLE"
